Date,Price,Open,High,Low,Vol.,Change %
15-Feb-18,"9,996.90","9,454.30","10,175.00","9,338.80",67.53K,5.73
14-Feb-18,"9,455.40","8,515.90","9,488.00","8,512.60",50.36K,11.03
13-Feb-18,"8,515.90","8,902.90","8,952.80","8,339.70",39.51K,-4.32
12-Feb-18,"8,900.60","8,070.00","9,000.00","8,070.00",51.40K,10.31
11-Feb-18,"8,069.00","8,563.00","8,569.00","7,851.00",52.21K,-5.77
10-Feb-18,"8,563.10","8,678.10","9,074.30","8,152.10",68.15K,-1.38
9-Feb-18,"8,683.20","8,240.00","8,748.00","7,734.70",63.03K,5.44
8-Feb-18,"8,235.10","7,585.00","8,648.80","7,579.60",77.62K,8.54
7-Feb-18,"7,587.00","7,679.40","8,488.20","7,175.10",106.70K,-1.13
6-Feb-18,"7,673.80","6,946.60","7,860.00","6,000.00",192.76K,10.42
5-Feb-18,"6,949.90","8,185.20","8,378.00","6,658.80",131.29K,-15.25
4-Feb-18,"8,200.00","9,225.07","9,403.30","7,840.00",74.42K,-11.06
3-Feb-18,"9,219.40","8,887.10","9,495.00","8,189.60",51.91K,3.64
2-Feb-18,"8,895.80","9,181.00","9,201.00","7,972.20",123.34K,-3.11
1-Feb-18,"9,181.10","10,278.00","10,311.00","8,941.00",78.78K,-10.72
31-Jan-18,"10,284.00","10,170.00","10,411.00","9,761.00",43.23K,1.07
30-Jan-18,"10,175.00","11,215.00","11,250.00","9,864.90",61.28K,-9.25
29-Jan-18,"11,212.00","11,836.00","11,957.00","11,074.00",25.65K,-5.3
28-Jan-18,"11,839.00","11,455.13","12,181.00","11,398.00",29.62K,3.3
27-Jan-18,"11,461.00","11,068.00","11,683.00","10,822.00",34.40K,3.53
26-Jan-18,"11,070.00","11,144.00","11,647.00","10,298.00",56.75K,-0.68
25-Jan-18,"11,146.00","11,402.00","11,723.00","10,857.00",34.44K,-2.35
24-Jan-18,"11,414.00","10,811.00","11,529.00","10,454.00",43.82K,5.5
23-Jan-18,"10,819.00","10,770.00","11,383.00","9,901.10",63.85K,0.45
22-Jan-18,"10,771.00","11,519.00","11,886.00","10,009.00",66.35K,-6.45
21-Jan-18,"11,514.00","12,732.00","12,732.00","11,020.00",53.62K,-9.54
20-Jan-18,"12,728.00","11,462.00","13,002.00","11,425.00",46.30K,10.91
19-Jan-18,"11,476.00","11,036.00","11,879.00","10,649.00",48.55K,3.9
18-Jan-18,"11,045.00","11,101.00","11,881.00","10,515.00",85.24K,-0.33
17-Jan-18,"11,082.00","11,059.00","11,490.00","9,231.10",132.23K,0.09
16-Jan-18,"11,072.00","13,594.00","13,604.00","9,949.40",131.86K,-18.44
15-Jan-18,"13,575.00","13,558.00","14,350.00","13,307.00",33.46K,0.13
14-Jan-18,"13,558.00","14,190.00","14,391.00","12,874.34",35.60K,-4.46
13-Jan-18,"14,191.00","13,794.00","14,580.00","13,760.00",29.01K,2.96
12-Jan-18,"13,783.00","13,248.00","14,095.00","12,778.00",37.42K,3.9
11-Jan-18,"13,266.00","14,895.00","14,949.80","12,639.00",71.70K,-10.94
10-Jan-18,"14,896.00","14,426.00","14,896.00","13,338.00",57.33K,3.28
9-Jan-18,"14,423.00","14,902.00","15,355.00","14,122.00",43.44K,-3.4
