Date,Positive Sentiment Averaged,Negative Sentiment Averaged,Overall Sentiment Averaged,Positive Sentiment Summed,Negative Sentiment Summed,Overall Sentiment Summed,Positive Sentiment RMS,Negative Sentiment RMS,Overall Sentiment RMS,XRP_Change,XRP_High,XRP_Low,XRP_Open,XRP_Price,XRP_Vol,BTC_Change,BTC_High,BTC_Low,BTC_Open,BTC_Price,BTC_Vol,ETH_Change,ETH_High,ETH_Low,ETH_Open,ETH_Price,ETH_Vol,RMS_box_filter,Summed_box_filter,Averaged_box_filter,ten day percent change,thirty day percent change,binned price
2017-08-16,0.12980769230769232,-0.02403846153846154,0.10576923076923078,0.12980769230769232,-0.02403846153846154,0.10576923076923078,0.12980769230769232,-0.02403846153846154,0.10576923076923078,-1.74,0.1608,0.1486,0.158,0.158,16040.0,5.65,4403.6,3928.1,4160.0,4386.3,35.29,5.36,304.0,279.94,286.0,301.34,150.43,0.13672141372141372,0.13672141372141372,0.13672141372141372,-0.19346605410923937,-0.07276995305164316,2
2017-08-17,0.35714285714285715,0.0,0.35714285714285715,0.35714285714285715,0.0,0.35714285714285715,0.35714285714285715,-0.0,0.35714285714285715,-0.63,0.161,0.153,0.1608,0.157,11830.0,-2.88,4489.1,4178.1,4386.4,4260.0,40.3,-0.78,312.0,297.01,301.34,299.0,133.09,0.20814998514998512,0.20814998514998512,0.20814998514998512,-0.1439476553980371,-0.07863849765258213,2
2017-08-18,0.11403508771929825,-0.193859649122807,-0.07982456140350876,0.11403508771929825,-0.193859649122807,-0.07982456140350876,0.11403508771929825,-0.193859649122807,-0.07982456140350876,-2.87,0.17,0.151,0.158,0.1525,19650.0,-3.99,4359.0,3957.0,4269.7,4090.2,46.8,-2.34,307.0,286.0,299.0,292.0,165.16,0.2166175053017158,0.2166175053017158,0.2166175053017158,-0.15652654867256632,-0.10504694835680752,2
2017-08-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.33,0.162,0.14800000000000002,0.157,0.1591,14310.0,1.34,4184.1,3920.0,4088.2,4145.1,41.77,0.27,298.51,280.0,292.0,292.78,158.37,0.2166175053017158,0.2166175053017158,0.2166175053017158,-0.10366197183098592,-0.06631455399061036,2
2017-08-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.56,0.1617,0.1493,0.1525,0.195,12010.0,-1.95,4192.0,4040.9,4145.0,4064.3,25.1,1.91,299.0,286.96,292.78,298.37,86.96,0.07661750530171584,0.07661750530171584,0.07661750530171584,0.13438045375218155,0.14436619718309865,3
2017-08-21,0.3323308270676692,-0.006015037593984962,0.3263157894736842,0.3323308270676692,-0.006015037593984962,0.3263157894736842,0.3323308270676692,-0.006015037593984962,0.3263157894736842,24.1,0.2065,0.1511,0.1591,0.242,54920.0,-1.52,4093.5,3956.4,4066.3,4002.5,26.61,8.0,346.99,294.53,298.37,322.24,329.81,0.12072681704260653,0.12072681704260653,0.12072681704260653,0.45695364238410596,0.42018779342723006,4
2017-08-22,0.2452991452991453,-0.12115384615384615,0.12414529914529913,0.4905982905982906,-0.2423076923076923,0.24829059829059827,0.3159596823269733,-0.17133741236443267,0.14462226996254063,1.65,0.259,0.1711,0.195,0.24600000000000002,91200.0,1.79,4140.0,3600.0,3998.9,4074.0,61.72,-3.01,329.96,285.01,322.24,312.54,244.94,0.07822269960654323,0.09895636527215476,0.07412730544309493,0.4669051878354206,0.4436619718309861,4
2017-08-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.75,0.2995,0.2155,0.242,0.2171,102070.0,1.35,4248.6,4055.9,4086.9,4129.1,27.49,1.27,325.0,311.65,312.54,316.5,115.09,0.09418761188724498,0.1149212775528565,0.09009221772379668,0.3740506329113923,0.2740610328638497,3
2017-08-24,0.4375,-0.008928571428571428,0.42857142857142855,0.4375,-0.008928571428571428,0.42857142857142855,0.4375,-0.008928571428571428,0.42857142857142855,-0.55,0.2869,0.21,0.24600000000000002,0.2159,74210.0,4.75,4370.8,4093.0,4135.0,4325.2,22.04,2.88,329.56,314.14,316.5,325.62,93.42,0.1799018976015307,0.20063556326714221,0.17580650343808238,0.34266169154228865,0.2670187793427231,3
2017-08-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.96,0.231,0.2027,0.2171,0.2095,36120.0,0.61,4461.2,4277.4,4324.1,4351.5,27.76,0.95,338.25,324.04,325.62,328.7,108.0,0.1799018976015307,0.20063556326714221,0.17580650343808238,0.32594936708860756,0.2294600938967136,3
