"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 10, 2018","415.12","398.84","417.90","391.00","146.65K","4.09%"
"Apr 09, 2018","398.79","400.33","430.73","387.31","329.86K","-0.39%"
"Apr 08, 2018","400.34","384.16","404.07","384.16","134.99K","4.21%"
"Apr 07, 2018","384.16","369.74","394.59","368.85","143.72K","3.90%"
"Apr 06, 2018","369.73","380.99","385.44","363.03","151.02K","-2.95%"
"Apr 05, 2018","380.98","378.00","387.10","366.12","182.50K","0.79%"
"Apr 04, 2018","377.99","415.41","416.54","369.82","256.60K","-9.01%"
"Apr 03, 2018","415.43","386.16","417.88","379.83","223.28K","7.76%"
"Apr 02, 2018","385.50","378.68","393.99","375.26","196.17K","1.80%"
"Apr 01, 2018","378.67","393.37","398.84","358.01","325.75K","-3.64%"
"Mar 31, 2018","392.97","393.08","418.50","389.00","273.24K","-0.03%"
"Mar 30, 2018","393.09","384.10","411.12","364.66","501.96K","2.34%"
"Mar 29, 2018","384.11","445.37","448.00","379.60","470.08K","-13.75%"
"Mar 28, 2018","445.37","448.19","465.52","439.99","165.08K","-0.55%"
"Mar 27, 2018","447.85","485.20","491.35","446.10","310.88K","-7.66%"
"Mar 26, 2018","485.00","522.41","525.37","466.90","224.43K","-7.16%"
"Mar 25, 2018","522.41","519.05","535.65","513.06","81.71K","0.70%"
"Mar 24, 2018","518.80","543.86","545.24","518.00","108.76K","-4.51%"
"Mar 23, 2018","543.28","539.20","543.66","505.72","193.13K","0.76%"
"Mar 22, 2018","539.19","559.22","577.27","515.36","181.65K","-3.72%"
"Mar 21, 2018","560.04","556.38","590.00","544.59","185.47K","0.66%"
"Mar 20, 2018","556.38","555.00","566.28","516.09","226.63K","0.25%"
"Mar 19, 2018","554.99","536.73","557.99","514.95","346.87K","3.40%"
"Mar 18, 2018","536.73","548.82","560.99","453.65","661.85K","-2.23%"
"Mar 17, 2018","549.00","598.77","609.36","543.30","141.33K","-8.43%"
"Mar 16, 2018","599.56","609.91","626.04","584.50","133.52K","-1.70%"
"Mar 15, 2018","609.90","610.91","619.82","568.29","223.87K","-0.17%"
"Mar 14, 2018","610.92","689.10","702.41","585.34","205.41K","-11.27%"
"Mar 13, 2018","688.50","696.51","713.99","676.80","132.60K","-1.15%"
"Mar 12, 2018","696.52","719.85","739.84","676.34","123.67K","-3.24%"
"Mar 11, 2018","719.86","679.68","734.20","660.15","139.84K","5.91%"
"Mar 10, 2018","679.68","724.62","745.00","676.27","117.94K","-6.20%"
"Mar 09, 2018","724.61","697.30","727.81","639.04","229.75K","3.92%"
"Mar 08, 2018","697.31","749.20","770.00","688.01","146.74K","-6.93%"
"Mar 07, 2018","749.21","816.48","824.23","725.01","174.36K","-8.22%"
"Mar 06, 2018","816.31","848.14","850.00","803.59","89.00K","-3.71%"
"Mar 05, 2018","847.76","866.06","870.00","847.76","55.13K","-2.11%"
"Mar 04, 2018","866.07","855.29","868.26","835.58","45.12K","1.26%"
"Mar 03, 2018","855.30","854.79","868.70","852.63","40.49K","0.09%"
"Mar 02, 2018","854.50","869.23","879.37","849.73","58.05K","-1.70%"
"Mar 01, 2018","869.24","851.25","881.30","845.61","90.09K","2.11%"
"Feb 28, 2018","851.26","871.20","888.46","850.75","93.98K","-2.31%"
"Feb 27, 2018","871.36","868.60","895.00","862.08","93.51K","0.41%"
"Feb 26, 2018","867.76","838.71","881.60","831.90","136.60K","3.49%"
"Feb 25, 2018","838.47","831.51","848.38","816.13","101.28K","0.84%"
"Feb 24, 2018","831.51","852.68","872.99","808.17","147.41K","-2.50%"
"Feb 23, 2018","852.79","802.85","881.20","787.00","162.83K","6.22%"
"Feb 22, 2018","802.85","837.80","868.94","788.00","180.65K","-4.17%"
"Feb 21, 2018","837.79","884.50","903.33","815.32","220.26K","-5.28%"
"Feb 20, 2018","884.51","939.19","958.99","875.00","150.18K","-5.82%"
"Feb 19, 2018","939.18","913.10","955.84","909.40","118.34K","2.96%"
"Feb 18, 2018","912.21","973.29","979.00","901.00","184.03K","-6.27%"
"Feb 17, 2018","973.28","937.37","973.55","933.52","124.67K","3.83%"
"Feb 16, 2018","937.38","925.02","944.00","907.00","134.07K","1.19%"
"Feb 15, 2018","926.32","919.13","945.00","903.20","205.52K","0.78%"
"Feb 14, 2018","919.11","839.69","922.00","839.69","199.27K","9.46%"
"Feb 13, 2018","839.69","866.40","869.26","821.57","130.39K","-3.08%"
"Feb 12, 2018","866.40","810.64","876.52","810.64","130.22K","6.88%"
"Feb 11, 2018","810.64","851.66","854.50","778.52","146.90K","-4.85%"
"Feb 10, 2018","852.00","878.01","908.99","815.52","165.70K","-3.06%"
"Feb 09, 2018","878.90","814.01","881.69","780.53","182.42K","8.08%"
"Feb 08, 2018","813.20","752.88","845.88","749.88","236.13K","8.25%"
"Feb 07, 2018","751.25","782.99","848.60","716.30","416.98K","-3.88%"
"Feb 06, 2018","781.60","698.62","798.70","566.00","790.23K","11.88%"
"Feb 05, 2018","698.62","827.90","858.00","641.01","547.57K","-15.83%"
"Feb 04, 2018","829.98","972.19","972.69","776.00","340.10K","-14.65%"
"Feb 03, 2018","972.40","923.20","999.00","845.00","211.35K","5.32%"
"Feb 02, 2018","923.30","1,036.20","1,038.70","769.99","520.79K","-10.90%"
"Feb 01, 2018","1,036.30","1,120.70","1,167.00","985.01","285.60K","-7.58%"
"Jan 31, 2018","1,121.30","1,076.80","1,128.70","1,027.80","136.70K","4.21%"
"Jan 30, 2018","1,076.00","1,174.30","1,178.80","1,041.00","246.88K","-8.43%"
"Jan 29, 2018","1,175.00","1,245.50","1,259.80","1,155.90","139.56K","-5.74%"
"Jan 28, 2018","1,246.60","1,114.70","1,264.80","1,109.00","189.36K","11.82%"
"Jan 27, 2018","1,114.80","1,046.90","1,125.30","1,031.60","105.76K","6.48%"
"Jan 26, 2018","1,047.00","1,048.20","1,078.60","983.00","138.71K","-0.11%"
"Jan 25, 2018","1,048.20","1,061.80","1,102.40","1,025.10","162.09K","-1.41%"
"Jan 24, 2018","1,063.20","982.11","1,068.80","952.04","173.18K","8.16%"
"Jan 23, 2018","982.98","995.26","1,022.00","905.38","228.08K","-1.22%"
"Jan 22, 2018","995.08","1,047.00","1,084.10","912.76","238.82K","-4.96%"
"Jan 21, 2018","1,047.00","1,146.30","1,146.30","1,001.50","197.63K","-8.64%"
"Jan 20, 2018","1,146.00","1,032.60","1,160.00","1,029.60","163.86K","10.98%"
"Jan 19, 2018","1,032.60","993.92","1,079.00","960.10","174.91K","3.80%"
"Jan 18, 2018","994.81","1,020.10","1,079.00","940.00","374.07K","-2.23%"
"Jan 17, 2018","1,017.50","1,019.60","1,088.30","770.10","686.58K","-0.25%"
"Jan 16, 2018","1,020.10","1,275.80","1,278.80","868.98","672.02K","-19.89%"
"Jan 15, 2018","1,273.40","1,349.90","1,377.90","1,264.40","137.68K","-5.67%"
"Jan 14, 2018","1,350.00","1,379.90","1,385.00","1,256.00","176.75K","-2.17%"
"Jan 13, 2018","1,380.00","1,257.00","1,423.20","1,252.60","202.78K","9.77%"
"Jan 12, 2018","1,257.20","1,135.10","1,285.00","1,083.40","209.24K","10.72%"
"Jan 11, 2018","1,135.50","1,245.90","1,331.80","1,102.50","360.57K","-9.01%"
"Jan 10, 2018","1,248.00","1,285.70","1,381.90","1,203.20","380.43K","-2.78%"
