"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 10, 2018","6,839.30","6,770.90","6,890.60","6,650.00","26.15K","1.10%"
"Apr 09, 2018","6,764.60","7,024.00","7,187.40","6,611.00","75.96K","-3.69%"
"Apr 08, 2018","7,023.90","6,892.62","7,114.80","6,883.00","29.33K","1.90%"
"Apr 07, 2018","6,892.60","6,610.00","7,075.40","6,599.90","40.61K","4.27%"
"Apr 06, 2018","6,610.20","6,767.20","6,851.50","6,501.10","42.14K","-2.29%"
"Apr 05, 2018","6,765.00","6,785.80","6,911.00","6,571.90","45.85K","-0.31%"
"Apr 04, 2018","6,785.90","7,403.30","7,422.00","6,670.00","53.72K","-8.37%"
"Apr 03, 2018","7,405.60","7,073.80","7,509.60","7,020.00","49.86K","5.00%"
"Apr 02, 2018","7,052.70","6,813.10","7,121.40","6,770.20","44.01K","3.56%"
"Apr 01, 2018","6,810.00","6,925.40","7,035.10","6,432.40","54.90K","-1.66%"
"Mar 31, 2018","6,925.30","6,838.10","7,221.90","6,782.90","68.02K","1.24%"
"Mar 30, 2018","6,840.40","7,091.50","7,267.30","6,533.00","108.25K","-3.57%"
"Mar 29, 2018","7,094.00","7,936.00","7,963.90","6,897.20","77.41K","-10.61%"
"Mar 28, 2018","7,936.10","7,784.50","8,118.00","7,725.00","35.08K","1.95%"
"Mar 27, 2018","7,784.50","8,128.00","8,209.00","7,727.00","50.41K","-4.12%"
"Mar 26, 2018","8,119.10","8,445.00","8,496.40","7,839.09","56.38K","-3.86%"
"Mar 25, 2018","8,445.10","8,525.00","8,673.90","8,373.00","30.69K","-1.05%"
"Mar 24, 2018","8,535.00","8,911.40","9,040.20","8,463.00","44.21K","-4.19%"
"Mar 23, 2018","8,908.00","8,703.80","8,910.00","8,272.80","44.91K","2.32%"
"Mar 22, 2018","8,706.44","8,888.60","9,088.00","8,453.10","54.42K","-2.18%"
"Mar 21, 2018","8,900.10","8,899.80","9,175.20","8,755.70","42.86K","0.00%"
"Mar 20, 2018","8,899.70","8,600.20","9,025.00","8,309.60","54.28K","3.48%"
"Mar 19, 2018","8,600.10","8,209.00","8,689.90","8,100.00","73.28K","4.88%"
"Mar 18, 2018","8,200.20","7,832.00","8,285.60","7,240.00","88.92K","4.45%"
"Mar 17, 2018","7,851.00","8,250.00","8,350.10","7,729.50","48.97K","-4.85%"
"Mar 16, 2018","8,251.00","8,250.10","8,602.70","7,903.20","56.34K","-0.02%"
"Mar 15, 2018","8,252.90","8,181.30","8,416.70","7,666.30","82.58K","0.81%"
